unit_name,dacoity,robbery,murder,speedy_trial,riot,woman_child_repression,kidnapping,police_assault,burglary,theft,other_cases,r_arms_act,r_explosive_act,r_narcotics,r_smuggling,total_recovery_cases,total_cases,month,year
DMP,3,16,13,26,0,147,3,1,80,191,552,4,1,568,7,580,1612,June,2024
CMP,0,8,8,9,1,31,1,0,8,29,118,1,0,152,1,154,367,June,2024
KMP,0,0,4,2,0,14,0,1,4,12,33,1,0,110,0,111,181,June,2024
RMP,0,4,0,0,0,23,0,3,6,12,65,1,0,143,3,147,260,June,2024
BMP,0,0,1,0,0,12,0,0,7,11,68,1,0,45,0,46,145,June,2024
SMP,0,1,3,10,0,20,1,0,5,6,41,0,0,33,17,50,137,June,2024
RPMP,0,1,2,0,0,8,2,1,0,9,51,1,0,43,0,44,118,June,2024
GMP,2,8,6,1,0,35,2,0,4,8,63,0,0,81,1,82,211,June,2024
Dhaka Range,16,17,59,15,0,278,4,9,39,91,1152,13,2,804,3,822,2502,June,2024
Mymensingh Range,0,5,21,4,0,119,2,2,5,31,451,3,0,254,51,308,948,June,2024
Chittagong Range,8,22,57,9,0,193,5,9,45,82,1095,34,1,661,20,716,2241,June,2024
Sylhet Range,1,1,10,1,0,54,2,0,5,39,341,0,0,98,37,135,589,June,2024
Khulna Range,1,6,15,4,1,177,1,3,17,49,806,12,0,548,9,569,1649,June,2024
Barishal Range,5,1,10,8,0,172,0,3,8,23,541,0,0,165,0,165,936,June,2024
Rajshahi Range,0,8,36,3,0,221,4,3,10,79,816,27,3,835,24,889,2069,June,2024
Rangpur Range,0,5,20,2,0,184,4,1,8,57,839,0,0,465,5,470,1590,June,2024
Railway Range,0,0,3,1,0,1,0,0,0,16,16,0,0,12,0,12,49,June,2024
Total,36,103,268,95,2,1689,31,36,251,745,7048,98,7,5017,178,5300,15604,June,2024
