unit_name,dacoity,robbery,murder,speedy_trial,riot,woman_child_repression,kidnapping,police_assault,burglary,theft,other_cases,r_arms_act,r_explosive_act,r_narcotics,r_smuggling,total_recovery_cases,total_cases,month,year
DMP,3.0,25.0,17.0,8.0,0,168,21.0,3.0,44.0,100,506,13.0,,563,16.0,593,1488,April,2026
CMP,3.0,9.0,4.0,5.0,0,51,3.0,0.0,15.0,25,153,8.0,0.0,241,4.0,253,521,April,2026
KMP,0.0,2.0,2.0,0.0,0,5,2.0,0.0,6.0,12,35,6.0,0.0,44,0.0,50,114,April,2026
RMP,0.0,3.0,0.0,0.0,2,23,2.0,0.0,2.0,8,54,0.0,2.0,72,0.0,74,168,April,2026
BMP,0.0,,2.0,1.0,0,18,6.0,,4.0,10,59,4.0,0.0,48,0.0,52,154,April,2026
SMP,0.0,,3.0,6.0,0,5,,3.0,4.0,18,49,,,60,21.0,83,173,April,2026
RPMP,0.0,,,2.0,0,7,0.0,0.0,2.0,10,37,1.0,0.0,63,0.0,64,124,April,2026
GMP,0.0,3.0,5.0,3.0,0,34,6.0,3.0,3.0,20,106,18.0,,153,,172,355,April,2026
Dhaka Range,21.0,36.0,64.0,8.0,1,375,15.0,22.0,39.0,132,1433,14.0,,1326,7.0,1348,3494,April,2026
Mymensingh Range,0.0,6.0,17.0,7.0,0,108,3.0,6.0,7.0,48,394,1.0,0.0,316,25.0,342,938,April,2026
Chittagong Range,10.0,22.0,54.0,9.0,0,285,18.0,9.0,71.0,105,1346,31.0,,890,47.0,969,2898,April,2026
Sylhet Range,4.0,7.0,24.0,3.0,0,78,,,4.0,45,400,6.0,,187,46.0,240,807,April,2026
Khulna Range,3.0,12.0,24.0,15.0,0,163,5.0,5.0,25.0,72,687,10.0,3.0,454,33.0,500,1511,April,2026
Barishal Range,3.0,3.0,15.0,5.0,0,200,2.0,,21.0,44,497,2.0,,244,0.0,247,1038,April,2026
Rajshahi Range,,10.0,36.0,,0,252,2.0,5.0,,70,753,23.0,,563,5.0,592,1723,April,2026
Rangpur Range,3.0,5.0,17.0,4.0,0,237,7.0,7.0,19.0,80,767,,0.0,444,9.0,454,1600,April,2026
Railway Range,0.0,6.0,3.0,0.0,0,2,0.0,0.0,0.0,7,15,0.0,0.0,38,3.0,41,74,April,2026
Total,51.0,152.0,288.0,77.0,3,2011,94.0,66.0,267.0,806,7291,139.0,12.0,5706,217.0,6074,17180,April,2026
