unit_name,dacoity,robbery,murder,speedy_trial,riot,woman_child_repression,kidnapping,police_assault,burglary,theft,other_cases,r_arms_act,r_explosive_act,r_narcotics,r_smuggling,total_recovery_cases,total_cases,month,year
DMP,4,15,10,13,0,213,3,4,58,105,570,8,3,1373,9,1393,2388,June,2021
CMP,0,6,4,13,0,87,3,3,15,25,187,52,0,254,7,313,656,June,2021
KMP,0,1,0,0,0,18,0,1,1,11,38,1,0,97,2,100,170,June,2021
RMP,0,1,5,1,1,13,0,0,2,3,40,2,0,134,7,143,209,June,2021
BMP,0,1,0,2,0,12,1,0,4,14,30,2,0,90,0,92,156,June,2021
SMP,0,2,3,6,0,30,0,1,6,19,81,0,0,69,5,74,222,June,2021
RPMP,0,0,2,2,0,22,1,0,2,10,51,1,0,65,0,66,156,June,2021
GMP,1,1,3,3,0,41,1,0,2,12,60,4,0,96,0,100,224,June,2021
Dhaka Range,20,13,58,9,2,363,13,11,40,112,946,25,2,1018,4,1049,2636,June,2021
Mymensingh Range,0,2,20,17,0,238,2,2,4,43,528,4,1,307,11,323,1179,June,2021
Chittagong Range,6,14,46,13,0,294,12,6,27,108,988,28,0,1205,22,1255,2769,June,2021
Sylhet Range,3,4,18,4,0,113,1,1,5,48,373,4,0,171,31,206,776,June,2021
Khulna Range,2,8,23,3,0,196,3,2,19,77,678,7,1,583,11,602,1613,June,2021
Barishal Range,2,5,19,13,0,123,5,4,8,24,441,1,0,214,0,215,859,June,2021
Rajshahi Range,0,7,28,11,0,231,3,5,7,65,629,13,5,863,59,940,1926,June,2021
Rangpur Range,0,4,28,2,0,273,2,1,17,58,743,0,0,413,32,445,1573,June,2021
Railway Range,0,2,0,0,0,1,0,0,0,4,11,1,0,15,0,16,34,June,2021
Total,38,86,267,112,3,2268,50,41,217,738,6394,153,12,6967,200,7332,17546,June,2021
