unit_name,dacoity,robbery,murder,speedy_trial,riot,woman_child_repression,kidnapping,police_assault,burglary,theft,other_cases,r_arms_act,r_explosive_act,r_narcotics,r_smuggling,total_recovery_cases,total_cases,month,year
DMP,4.0,11.0,9.0,15.0,3.0,158.0,6.0,6.0,45.0,124.0,682.0,4.0,11.0,1155.0,9.0,1179.0,2242.0,May,2023
CMP,1.0,12.0,4.0,8.0,0.0,56.0,2.0,3.0,11.0,41.0,156.0,4.0,0.0,227.0,4.0,235.0,529.0,May,2023
KMP,1.0,0.0,0.0,2.0,0.0,32.0,0.0,0.0,8.0,9.0,35.0,0.0,0.0,61.0,0.0,61.0,148.0,May,2023
RMP,0.0,6.0,0.0,0.0,0.0,15.0,1.0,5.0,4.0,8.0,63.0,2.0,10.0,118.0,0.0,130.0,232.0,May,2023
BMP,1.0,0.0,1.0,1.0,0.0,21.0,0.0,0.0,5.0,7.0,47.0,0.0,1.0,66.0,0.0,67.0,150.0,May,2023
SMP,0.0,1.0,0.0,12.0,0.0,28.0,1.0,3.0,3.0,19.0,78.0,1.0,0.0,49.0,12.0,62.0,207.0,May,2023
RPMP,0.0,0.0,3.0,1.0,0.0,9.0,0.0,0.0,0.0,11.0,46.0,0.0,0.0,32.0,0.0,32.0,102.0,May,2023
GMP,0.0,2.0,9.0,0.0,0.0,17.0,0.0,0.0,3.0,4.0,50.0,0.0,0.0,61.0,0.0,61.0,146.0,May,2023
Dhaka Range,13.0,17.0,67.0,16.0,0.0,366.0,10.0,11.0,34.0,99.0,1164.0,26.0,2.0,1122.0,1.0,1151.0,2948.0,May,2023
Mymensingh Range,0.0,2.0,14.0,10.0,0.0,153.0,8.0,0.0,6.0,57.0,615.0,3.0,8.0,340.0,23.0,374.0,1239.0,May,2023
Chittagong Range,6.0,19.0,42.0,7.0,0.0,214.0,12.0,12.0,34.0,89.0,1104.0,45.0,1.0,1052.0,37.0,1135.0,2674.0,May,2023
Sylhet Range,1.0,2.0,15.0,3.0,0.0,84.0,0.0,1.0,4.0,57.0,434.0,2.0,0.0,178.0,38.0,218.0,819.0,May,2023
Khulna Range,1.0,7.0,25.0,9.0,0.0,170.0,4.0,1.0,16.0,83.0,756.0,7.0,2.0,683.0,17.0,709.0,1781.0,May,2023
Barishal Range,1.0,2.0,13.0,1.0,0.0,109.0,0.0,3.0,8.0,28.0,446.0,5.0,0.0,242.0,0.0,247.0,858.0,May,2023
Rajshahi Range,3.0,12.0,23.0,10.0,0.0,227.0,2.0,5.0,6.0,83.0,738.0,50.0,5.0,999.0,34.0,1088.0,2197.0,May,2023
Rangpur Range,3.0,1.0,21.0,2.0,0.0,207.0,3.0,5.0,9.0,73.0,867.0,2.0,0.0,420.0,10.0,432.0,1623.0,May,2023
Railway Range,,,,,,,,,,,,,,,,,,May,2023
Total,35.0,95.0,246.0,99.0,3.0,1867.0,49.0,55.0,196.0,807.0,7287.0,151.0,40.0,6827.0,186.0,7204.0,17943.0,May,2023
