unit_name,dacoity,robbery,murder,speedy_trial,riot,woman_child_repression,kidnapping,police_assault,burglary,theft,other_cases,r_arms_act,r_explosive_act,r_narcotics,r_smuggling,total_recovery_cases,total_cases,month,year
DMP,2,27,13,15,10,115,17,6.0,39,125,516,6,0,421,12,439,1324,November,2024
CMP,2,10,2,7,0,25,5,12.0,16,36,138,8,1,112,2,123,376,November,2024
KMP,1,2,4,1,0,23,0,1.0,5,13,36,5,0,61,1,67,153,November,2024
RMP,0,2,0,1,0,22,2,0.0,4,8,52,0,3,64,0,67,158,November,2024
BMP,0,0,0,0,0,14,2,0.0,4,7,53,1,1,36,0,38,118,November,2024
SMP,1,1,1,8,0,4,2,2.0,6,13,62,0,9,21,20,50,150,November,2024
RPMP,0,1,0,0,0,7,2,0.0,0,8,43,0,0,17,1,18,79,November,2024
GMP,0,3,3,0,0,21,6,,2,15,66,3,0,85,1,89,206,November,2024
Dhaka Range,16,23,56,8,0,217,9,4.0,44,86,1098,20,6,641,4,671,2232,November,2024
Mymensingh Range,1,3,11,6,0,115,5,1.0,6,37,387,7,2,163,39,211,783,November,2024
Chittagong Range,9,27,32,15,0,174,5,9.0,37,90,1074,40,10,718,31,799,2271,November,2024
Sylhet Range,2,6,16,4,0,75,0,4.0,7,42,422,3,0,123,46,172,750,November,2024
Khulna Range,3,10,22,8,0,134,3,5.0,17,77,634,31,2,416,16,465,1378,November,2024
Barishal Range,4,6,8,14,1,152,2,2.0,29,31,424,11,2,135,0,148,821,November,2024
Rajshahi Range,5,4,27,1,0,179,2,1.0,7,68,721,21,18,521,12,572,1587,November,2024
Rangpur Range,1,4,16,3,0,175,5,1.0,8,54,694,3,2,405,5,415,1376,November,2024
Railway Range,0,4,0,0,0,0,0,0.0,0,6,12,0,0,39,4,43,65,November,2024
Total,47,133,211,91,11,1452,67,49.0,231,716,6432,159,56,3978,194,4387,13827,November,2024
