unit_name,dacoity,robbery,murder,speedy_trial,riot,woman_child_repression,kidnapping,police_assault,burglary,theft,other_cases,r_arms_act,r_explosive_act,r_narcotics,r_smuggling,total_recovery_cases,total_cases,month,year
DMP,21,176,219,105,3,2198,44,54,658,1217,5132,124,31,12619,72,12846,22673,January-December,2020
CMP,2,81,77,107,0,797,13,18,123,216,1501,410,9,2899,35,3353,6288,January-December,2020
KMP,0,15,17,5,0,112,7,4,21,70,298,5,1,1205,4,1215,1764,January-December,2020
RMP,0,29,16,5,2,241,11,3,38,82,584,11,0,2441,213,2665,3676,January-December,2020
BMP,0,13,20,20,0,161,1,1,67,115,449,9,0,680,1,690,1537,January-December,2020
SMP,4,7,31,62,1,269,4,11,32,110,819,14,2,539,55,610,1960,January-December,2020
RPMP,0,5,23,12,0,229,12,2,11,104,556,3,0,581,0,584,1538,January-December,2020
GMP,14,29,66,23,0,456,43,9,40,127,967,27,1,1188,7,1223,2997,January-December,2020
Dhaka Range,109,198,704,145,1,3398,124,97,383,1001,11252,138,26,9212,67,9443,26855,January-December,2020
Mymensingh Range,5,28,215,81,0,1861,16,29,77,459,6160,33,0,3903,80,4016,12947,January-December,2020
Chittagong Range,83,144,727,108,6,2888,93,78,446,1020,11372,474,21,10110,117,10722,27687,January-December,2020
Sylhet Range,14,27,233,16,0,926,16,34,67,457,4282,37,2,2118,255,2412,8484,January-December,2020
Khulna Range,25,83,334,41,0,2135,34,26,212,773,7334,168,17,6496,260,6941,17938,January-December,2020
Barishal Range,11,33,143,45,0,1432,20,18,143,216,5003,32,4,2772,8,2816,9880,January-December,2020
Rajshahi Range,9,71,388,65,0,2861,24,45,83,515,6697,185,32,11738,1061,13016,23774,January-December,2020
Rangpur Range,4,30,311,31,0,2543,21,19,130,660,8597,18,0,4636,492,5146,17492,January-December,2020
Railway Range,1,9,15,0,0,10,3,1,2,58,93,2,0,202,40,244,436,January-December,2020
Total,302,978,3539,871,13,22517,486,449,2533,7200,71096,1690,146,73339,2767,77942,187926,January-December,2020
