unit_name,dacoity,robbery,murder,speedy_trial,riot,woman_child_repression,kidnapping,police_assault,burglary,theft,other_cases,r_arms_act,r_explosive_act,r_narcotics,r_smuggling,total_recovery_cases,total_cases,month,year
DMP,1,7,12,19,0,172,10,3,51,132,433,15,1,1564,13,1593,2433,March,2019
CMP,0,4,7,8,0,32,2,2,7,17,111,32,0,446,6,484,674,March,2019
KMP,0,1,2,1,0,15,0,0,5,4,28,3,1,222,3,229,285,March,2019
RMP,0,2,0,1,1,15,0,1,2,4,52,1,0,265,18,284,362,March,2019
BMP,0,0,1,2,0,11,0,0,4,4,50,0,0,88,0,88,160,March,2019
SMP,2,0,1,11,2,13,0,1,5,5,62,1,0,50,2,53,155,March,2019
RPMP,0,2,1,0,0,10,5,0,0,5,35,0,0,50,0,50,108,March,2019
GMP,1,3,7,1,0,22,2,0,0,15,64,17,0,216,5,238,353,March,2019
Dhaka Range,1,8,60,7,0,201,9,11,22,74,934,10,5,1609,7,1631,2958,March,2019
Mymensingh Range,1,0,17,2,0,102,1,0,4,19,379,5,0,467,4,476,1001,March,2019
Chittagong Range,4,5,69,6,0,166,4,10,29,54,803,56,1,1161,10,1228,2378,March,2019
Sylhet Range,1,2,23,1,0,72,2,7,4,44,351,3,0,215,13,231,738,March,2019
Khulna Range,3,2,40,3,1,125,0,0,13,36,504,20,5,715,38,778,1505,March,2019
Barishal Range,2,0,11,2,0,119,0,2,15,12,422,4,2,334,1,341,926,March,2019
Rajshahi Range,2,2,22,10,0,138,4,1,4,35,523,17,4,1148,105,1274,2015,March,2019
Rangpur Range,2,1,15,0,0,152,3,3,8,44,545,2,0,561,81,644,1417,March,2019
Railway Range,0,0,2,0,0,1,0,0,0,9,17,0,0,49,11,60,89,March,2019
Total,20,39,290,74,4,1366,42,41,173,513,5313,186,19,9160,317,9682,17557,March,2019
