unit_name,dacoity,robbery,murder,speedy_trial,riot,woman_child_repression,kidnapping,police_assault,burglary,theft,other_cases,r_arms_act,r_explosive_act,r_narcotics,r_smuggling,total_recovery_cases,total_cases,month,year
DMP,2.0,16.0,16.0,5.0,0.0,211.0,9.0,8.0,63.0,122.0,638.0,11.0,3.0,1524.0,8.0,1546.0,2636.0,May,2019
CMP,0.0,13.0,9.0,0.0,0.0,46.0,1.0,7.0,6.0,20.0,170.0,111.0,0.0,548.0,5.0,664.0,936.0,May,2019
KMP,0.0,2.0,0.0,0.0,0.0,12.0,0.0,1.0,2.0,7.0,40.0,0.0,0.0,117.0,2.0,119.0,183.0,May,2019
RMP,0.0,4.0,1.0,0.0,0.0,22.0,1.0,2.0,1.0,5.0,60.0,0.0,0.0,337.0,27.0,364.0,460.0,May,2019
BMP,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,3.0,5.0,47.0,1.0,0.0,116.0,0.0,117.0,184.0,May,2019
SMP,1.0,1.0,4.0,0.0,0.0,17.0,1.0,0.0,1.0,9.0,78.0,3.0,0.0,58.0,3.0,64.0,176.0,May,2019
RPMP,0.0,2.0,2.0,0.0,0.0,13.0,0.0,0.0,0.0,5.0,48.0,3.0,0.0,72.0,0.0,75.0,145.0,May,2019
GMP,0.0,5.0,5.0,0.0,0.0,31.0,3.0,3.0,4.0,19.0,123.0,5.0,0.0,128.0,1.0,134.0,327.0,May,2019
Dhaka Range,4.0,12.0,63.0,0.0,0.0,331.0,7.0,15.0,31.0,88.0,1232.0,16.0,5.0,1863.0,6.0,1890.0,3673.0,May,2019
Mymensingh Range,1.0,0.0,27.0,0.0,0.0,139.0,5.0,3.0,6.0,30.0,549.0,4.0,0.0,485.0,4.0,493.0,1253.0,May,2019
Chittagong Range,9.0,9.0,75.0,0.0,0.0,295.0,9.0,7.0,24.0,81.0,1265.0,82.0,0.0,1303.0,7.0,1392.0,3166.0,May,2019
Sylhet Range,1.0,3.0,20.0,0.0,0.0,90.0,1.0,4.0,2.0,39.0,526.0,5.0,1.0,216.0,13.0,235.0,921.0,May,2019
Khulna Range,3.0,4.0,36.0,0.0,0.0,171.0,3.0,3.0,11.0,35.0,725.0,22.0,4.0,642.0,31.0,699.0,1690.0,May,2019
Barishal Range,0.0,2.0,7.0,0.0,0.0,184.0,0.0,0.0,11.0,20.0,548.0,1.0,1.0,323.0,1.0,326.0,1098.0,May,2019
Rajshahi Range,2.0,5.0,35.0,0.0,0.0,241.0,2.0,3.0,10.0,41.0,629.0,18.0,6.0,1158.0,128.0,1310.0,2278.0,May,2019
Rangpur Range,1.0,2.0,17.0,0.0,0.0,227.0,1.0,3.0,7.0,46.0,801.0,1.0,1.0,553.0,81.0,636.0,1741.0,May,2019
Railway Range,,,,,,,,,,,,,,,,,,May,2019
Total,24.0,82.0,320.0,5.0,0.0,2041.0,43.0,59.0,182.0,579.0,7492.0,283.0,21.0,9491.0,333.0,10128.0,20955.0,May,2019
