unit,name,district,lat,lon,established,num_thanas,area_sq_km,thanas,source
DMP,Dhaka Metropolitan Police,Dhaka,23.7115253,90.4111451,1976-02-01,49,,"Adabor, Airport, Badda, Banani, Bangshal, Bhashantek, Cantonment, Chackbazar, Darussalam, Dakshinkhan, Demra, Dhanmondi, Gandaria, Gulshan, Hazaribag, Jatrabari, Kadamtoli, Kafrul, Kalabagan, Kamrangirchar, Khilgaon, Khilkhet, Kotwali, Lalbag, Mirpur Model, Mohammadpur, Motijheel, Mugda, New Market, Pallabi, Paltan Model, Ramna Model, Rampura, Rupnagar, Sabujbag, Shah Ali, Shahbag, Sherebanglanagar, Shyampur, Sutrapur, Shahjahanpur, Tejgaon, Tejgaon I/A, Turag, Uttara Model, Uttarkhan, Uttara West, Vatara, Wari",https://www.police.gov.bd/en/dhaka_metropolitan_police
CMP,Chittagong Metropolitan Police,Chittagong,22.335109,91.834073,1978-11-30,16,304.66,"Kotwali, Chandgaon, Panchlaish, Doublemooring, Pahartali, Bandar, Baijid Bostami, Hali Shohor, Kornafuli, Potenga, Bakolia, Akborsha, Shodhorgat, EPZ, Chokbazar, Kulshi",https://www.police.gov.bd/en/chittagong_metropolitan_police
KMP,Khulna Metropolitan Police,Khulna,22.815774,89.568679,1986-07-01,8,70.0,"Khulna Sadar, Sonadangha, Khalishpur, Daulatpur, Khanjahan Ali, Labanchora, Horintana, Aranghata",https://www.police.gov.bd/en/khulna_metropolitan_police
RMP,Rajshahi Metropolitan Police,Rajshahi,24.3745,88.6042,1992-07-01,4,203.0,"Boalia Model, Rajpara, Motihar, Shahmokhdum",https://www.police.gov.bd/en/rajshahi_metropolitan_police
BMP,Barisal Metropolitan Police,Barisal,22.701,90.3535,2006-10-26,4,,"Kotowali Model, Airport, Kawnia, Bondor",https://www.police.gov.bd/en/barisal_metropolitan_police
SMP,Sylhet Metropolitan Police,Sylhet,24.8897956,91.8697894,2009-03,6,,"Kotwali, South Surma, Jalalabad, Airport, Moglabazar, Hazrat Shah Paran",https://www.police.gov.bd/en/sylhet_metropolitan_police
RPMP,Rangpur Metropolitan Police,Rangpur,25.7558096,89.244462,2018-09-16,6,239.72,"Kotwali, Haragach (full list of 6 not published on police.gov.bd or Wikipedia as of 2026-07-08)",https://en.wikipedia.org/wiki/Rangpur_Metropolitan_Police
GMP,Gazipur Metropolitan Police,Gazipur,24.0022858,90.4264283,2018,8,331.5,"Gazipur Sadar, Tongi East, Tongi West, Gacha, Bason, Konabari, Kashimpur, Pubail",https://en.wikipedia.org/wiki/Gazipur_Metropolitan_Police
