unit_name,dacoity,robbery,murder,speedy_trial,riot,woman_child_repression,kidnapping,police_assault,burglary,theft,other_cases,r_arms_act,r_explosive_act,r_narcotics,r_smuggling,total_recovery_cases,total_cases,month,year
DMP,2,19.0,21.0,5.0,2,172,4.0,3.0,65,138.0,469,13,3,1323,8.0,1347,2247,January,2020
CMP,0,5.0,5.0,5.0,0,61,3.0,,12,26.0,90,46,1,435,4.0,486,694,January,2020
KMP,0,0.0,,0.0,0,8,0.0,0.0,5,2.0,31,1,1,129,,132,179,January,2020
RMP,0,1.0,,0.0,0,17,0.0,,0,,43,0,0,289,26.0,315,388,January,2020
BMP,0,,2.0,2.0,0,13,0.0,0.0,7,16.0,37,1,0,106,0.0,107,185,January,2020
SMP,2,,,5.0,0,22,0.0,,4,3.0,53,0,0,55,,59,151,January,2020
RPMP,0,0.0,2.0,0.0,0,22,0.0,,0,8.0,38,1,0,63,0.0,64,134,January,2020
GMP,0,4.0,4.0,0.0,0,33,1.0,0.0,0,11.0,91,2,0,192,0.0,194,338,January,2020
Dhaka Range,16,18.0,41.0,10.0,0,253,5.0,,39,95.0,760,13,1,1183,8.0,1205,2447,January,2020
Mymensingh Range,0,1.0,9.0,7.0,0,138,2.0,6.0,4,40.0,409,5,0,795,6.0,806,1422,January,2020
Chittagong Range,9,12.0,65.0,11.0,0,190,3.0,6.0,42,91.0,821,50,4,1162,7.0,1223,2473,January,2020
Sylhet Range,2,2.0,20.0,1.0,0,65,4.0,,5,45.0,348,2,0,195,17.0,214,708,January,2020
Khulna Range,5,5.0,26.0,1.0,0,140,6.0,,21,58.0,513,11,2,779,24.0,816,1594,January,2020
Barishal Range,1,3.0,12.0,0.0,0,105,5.0,,11,21.0,377,6,0,299,2.0,307,842,January,2020
Rajshahi Range,1,8.0,32.0,4.0,0,219,4.0,,9,52.0,534,16,2,1549,136.0,1703,2567,January,2020
Rangpur Range,1,2.0,29.0,2.0,0,163,,,14,55.0,619,5,0,563,107.0,675,1565,January,2020
Railway Range,0,1.0,2.0,,0,3,0.0,0.0,0,,11,0,0,36,10.0,46,72,January,2020
Total,39,83.0,273.0,53.0,2,1624,39.0,31.0,238,681.0,5244,172,14,9153,360.0,9699,18006,January,2020
