unit_name,dacoity,robbery,murder,speedy_trial,riot,woman_child_repression,kidnapping,police_assault,burglary,theft,other_cases,r_arms_act,r_explosive_act,r_narcotics,r_smuggling,total_recovery_cases,total_cases,month,year
DMP,2.0,13.0,19.0,7.0,0.0,185,3.0,5.0,45.0,92,328,11.0,0,465,2.0,478,1177,June,2020
CMP,,5.0,8.0,10.0,0.0,33,0.0,2.0,3.0,7,104,23.0,0,133,,157,330,June,2020
KMP,,2.0,3.0,0.0,,5,,0.0,0.0,4,8,0.0,0,51,0.0,51,73,June,2020
RMP,,4.0,0.0,2.0,0.0,15,0.0,0.0,1.0,6,40,0.0,0,54,6.0,60,128,June,2020
BMP,,3.0,2.0,0.0,0.0,12,0.0,0.0,4.0,10,28,0.0,0,18,0.0,18,77,June,2020
SMP,0.0,0.0,6.0,5.0,0.0,20,0.0,,0.0,8,45,,0,25,2.0,28,113,June,2020
RPMP,0.0,0.0,3.0,2.0,,21,,0.0,1.0,6,47,0.0,0,24,0.0,24,105,June,2020
GMP,3.0,,7.0,6.0,0.0,38,2.0,,3.0,11,68,3.0,0,45,0.0,48,188,June,2020
Dhaka Range,13.0,13.0,64.0,18.0,0.0,269,16.0,10.0,31.0,73,958,14.0,4,646,5.0,669,2134,June,2020
Mymensingh Range,0.0,9.0,12.0,8.0,0.0,136,0.0,2.0,7.0,35,543,,0,236,3.0,241,993,June,2020
Chittagong Range,4.0,7.0,54.0,9.0,0.0,215,7.0,3.0,35.0,62,918,44.0,1,636,9.0,690,2004,June,2020
Sylhet Range,0.0,1.0,19.0,0.0,0.0,66,2.0,3.0,5.0,31,325,1.0,0,142,14.0,157,609,June,2020
Khulna Range,4.0,9.0,32.0,5.0,0.0,188,2.0,5.0,19.0,63,662,16.0,2,436,15.0,469,1458,June,2020
Barishal Range,0.0,3.0,12.0,,0.0,108,,0.0,16.0,10,359,3.0,0,223,0.0,226,735,June,2020
Rajshahi Range,0.0,4.0,33.0,7.0,0.0,230,3.0,0.0,5.0,41,556,18.0,2,650,74.0,744,1623,June,2020
Rangpur Range,0.0,5.0,28.0,7.0,0.0,197,,,,45,756,0.0,0,355,23.0,378,1427,June,2020
Railway Range,0.0,0.0,,0.0,0.0,1,0.0,0.0,0.0,2,7,0.0,0,6,,7,18,June,2020
Total,27.0,79.0,303.0,86.0,0.0,1739,38.0,33.0,184.0,506,5752,136.0,9,4145,155.0,4445,13192,June,2020
