unit_name,dacoity,robbery,murder,speedy_trial,riot,woman_child_repression,kidnapping,police_assault,burglary,theft,other_cases,r_arms_act,r_explosive_act,r_narcotics,r_smuggling,total_recovery_cases,total_cases,month,year
DMP,4.0,,19.0,7.0,0,247,6.0,3.0,64.0,163,497,21.0,4.0,1192,8.0,1225,2246,October,2019
CMP,0.0,9.0,8.0,,0,97,3.0,0.0,11.0,15,122,53.0,2.0,432,3.0,490,766,October,2019
KMP,0.0,,,,0,10,0.0,0.0,3.0,6,28,0.0,,108,,111,160,October,2019
RMP,0.0,4.0,,,1,26,3.0,,5.0,4,44,4.0,,301,16.0,321,410,October,2019
BMP,,,3.0,,0,7,0.0,1.0,12.0,10,39,2.0,,107,0.0,109,184,October,2019
SMP,0.0,0.0,1.0,9.0,0,25,0.0,0.0,5.0,12,62,3.0,1.0,51,5.0,60,174,October,2019
RPMP,,,0.0,0.0,0,11,0.0,0.0,0.0,3,53,,,102,0.0,103,170,October,2019
GMP,2.0,6.0,4.0,2.0,0,37,0.0,0.0,,15,83,5.0,,203,2.0,211,361,October,2019
Dhaka Range,9.0,17.0,75.0,7.0,0,339,13.0,,35.0,101,895,20.0,,1326,7.0,1356,2856,October,2019
Mymensingh Range,,2.0,19.0,3.0,0,160,,,5.0,32,355,4.0,,608,13.0,626,1212,October,2019
Chittagong Range,12.0,13.0,59.0,10.0,0,274,8.0,,31.0,97,897,69.0,2.0,1075,10.0,1156,2563,October,2019
Sylhet Range,,2.0,12.0,0.0,0,96,2.0,,8.0,46,340,6.0,0.0,241,34.0,281,791,October,2019
Khulna Range,3.0,5.0,21.0,4.0,0,175,0.0,2.0,22.0,54,564,13.0,3.0,805,42.0,863,1713,October,2019
Barishal Range,2.0,3.0,13.0,0.0,0,141,4.0,,16.0,15,417,5.0,2.0,310,0.0,317,929,October,2019
Rajshahi Range,2.0,10.0,29.0,11.0,0,230,5.0,4.0,6.0,41,555,24.0,4.0,1414,135.0,1577,2470,October,2019
Rangpur Range,1.0,5.0,21.0,2.0,0,226,0.0,,17.0,63,610,2.0,0.0,579,104.0,685,1633,October,2019
Railway Range,0.0,2.0,2.0,1.0,0,0,0.0,0.0,0.0,9,6,0.0,,34,17.0,52,72,October,2019
Total,38.0,90.0,288.0,69.0,1,2101,48.0,38.0,241.0,686,5567,232.0,26.0,8888,397.0,9543,18710,October,2019
