unit_name,dacoity,robbery,murder,speedy_trial,riot,woman_child_repression,kidnapping,police_assault,burglary,theft,other_cases,r_arms_act,r_explosive_act,r_narcotics,r_smuggling,total_recovery_cases,total_cases,month,year
DMP,4,23,4,16.0,0.0,103,10.0,5.0,42.0,130.0,584,3.0,19.0,951,13.0,986,1907,December,2023
CMP,0,10,7,5.0,0.0,24,0.0,2.0,10.0,44.0,109,4.0,1.0,248,,254,465,December,2023
KMP,0,0,0,2.0,0.0,16,0.0,0.0,4.0,11.0,28,4.0,0.0,137,0.0,141,202,December,2023
RMP,0,2,2,1.0,0.0,14,0.0,2.0,2.0,8.0,42,2.0,,193,,198,271,December,2023
BMP,0,0,1,,0.0,17,0.0,0.0,3.0,8.0,32,0.0,0.0,42,0.0,42,104,December,2023
SMP,0,0,1,1.0,0.0,17,0.0,,4.0,15.0,54,0.0,0.0,39,7.0,46,139,December,2023
RPMP,0,0,0,0.0,,8,0.0,1.0,0.0,,36,0.0,2.0,70,0.0,72,121,December,2023
GMP,2,4,7,3.0,0.0,37,0.0,1.0,8.0,9.0,71,0.0,0.0,103,0.0,103,245,December,2023
Dhaka Range,11,18,62,17.0,,196,,11.0,37.0,91.0,905,,,801,4.0,817,2169,December,2023
Mymensingh Range,0,3,20,4.0,0.0,112,1.0,0.0,5.0,,369,,1.0,163,2.0,192,751,December,2023
Chittagong Range,6,21,53,5.0,,166,4.0,5.0,38.0,93.0,778,61.0,8.0,873,26.0,968,2137,December,2023
Sylhet Range,2,4,10,0.0,0.0,42,3.0,2.0,,46.0,279,1.0,0.0,104,26.0,131,523,December,2023
Khulna Range,0,2,11,5.0,0.0,82,1.0,,2.0,53.0,534,7.0,,597,9.0,614,1316,December,2023
Barishal Range,1,3,9,8.0,,102,2.0,1.0,9.0,25.0,345,3.0,0.0,186,0.0,189,694,December,2023
Rajshahi Range,2,4,24,6.0,,143,,3.0,8.0,61.0,651,22.0,19.0,997,22.0,1060,1964,December,2023
Rangpur Range,2,6,22,3.0,0.0,114,,1.0,14.0,47.0,783,0.0,,415,6.0,422,1416,December,2023
Railway Range,0,5,0,0.0,,0,0.0,0.0,0.0,12.0,14,1.0,1.0,25,1.0,28,59,December,2023
Total,30,105,233,77.0,,1193,29.0,37.0,200.0,702.0,5614,116.0,60.0,5944,143.0,6263,14483,December,2023
