unit_name,dacoity,robbery,murder,speedy_trial,riot,woman_child_repression,kidnapping,police_assault,burglary,theft,other_cases,r_arms_act,r_explosive_act,r_narcotics,r_smuggling,total_recovery_cases,total_cases,month,year
DMP,3.0,15.0,14.0,24.0,0.0,149,4.0,4.0,69,140,628,4.0,2.0,623,6.0,635,1685,April,2024
CMP,0.0,12.0,9.0,4.0,0.0,37,4.0,3.0,12,37,149,1.0,0.0,132,10.0,143,410,April,2024
KMP,0.0,0.0,,,0.0,6,1.0,2.0,6,10,44,,2.0,119,2.0,124,195,April,2024
RMP,0.0,2.0,0.0,0.0,0.0,21,0.0,2.0,0,14,58,0.0,0.0,141,2.0,143,240,April,2024
BMP,0.0,2.0,2.0,2.0,0.0,23,0.0,2.0,7,10,76,0.0,0.0,45,0.0,45,169,April,2024
SMP,0.0,0.0,2.0,5.0,,17,0.0,3.0,6,11,70,0.0,0.0,35,13.0,48,162,April,2024
RPMP,0.0,0.0,2.0,3.0,0.0,9,5.0,,0,9,49,0.0,0.0,38,0.0,38,116,April,2024
GMP,0.0,5.0,5.0,4.0,0.0,30,4.0,2.0,12,12,82,1.0,0.0,32,0.0,93,249,April,2024
Dhaka Range,13.0,18.0,75.0,24.0,0.0,281,9.0,18.0,25,103,1263,6.0,4.0,826,,838,2667,April,2024
Mymensingh Range,0.0,2.0,30.0,8.0,0.0,108,2.0,4.0,3,42,579,1.0,0.0,285,39.0,325,1103,April,2024
Chittagong Range,10.0,24.0,54.0,4.0,3.0,194,13.0,13.0,34,128,1256,49.0,0.0,623,13.0,685,2418,April,2024
Sylhet Range,0.0,2.0,23.0,8.0,0.0,59,1.0,4.0,9,53,461,1.0,0.0,84,30.0,115,735,April,2024
Khulna Range,2.0,2.0,18.0,14.0,0.0,129,3.0,,9,58,744,11.0,3.0,618,14.0,646,1629,April,2024
Barishal Range,0.0,3.0,11.0,5.0,0.0,130,1.0,2.0,9,28,565,1.0,,176,2.0,179,933,April,2024
Rajshahi Range,0.0,7.0,20.0,11.0,0.0,218,4.0,9.0,7,78,955,40.0,6.0,982,41.0,1069,2378,April,2024
Rangpur Range,1.0,2.0,30.0,3.0,0.0,211,,6.0,12,73,894,1.0,0.0,432,8.0,441,1677,April,2024
Railway Range,,,0.0,0.0,0.0,1,0.0,0.0,0,6,32,,0.0,13,0.0,13,53,April,2024
Total,29.0,97.0,296.0,120.0,3.0,1623,55.0,79.0,220,812,7905,117.0,17.0,5264,182.0,5580,16819,April,2024
