unit_name,dacoity,robbery,murder,speedy_trial,riot,woman_child_repression,kidnapping,police_assault,burglary,theft,other_cases,r_arms_act,r_explosive_act,r_narcotics,r_smuggling,total_recovery_cases,total_cases,month,year
DMP,3.0,15.0,59,16.0,46.0,109,1,44.0,32,134,510,7.0,26.0,415,8,456,1425,July,2024
CMP,,9.0,10,2.0,5.0,35,2,2.0,11,27,114,,2.0,109,0,112,330,July,2024
KMP,0.0,2.0,4,1.0,0.0,14,0,,5,12,35,,1.0,119,0,121,195,July,2024
RMP,,,3,1.0,1.0,19,2,2.0,3,18,41,2.0,5.0,98,1,106,198,July,2024
BMP,0.0,0.0,2,1.0,0.0,19,0,5.0,5,8,49,0.0,2.0,55,0,57,146,July,2024
SMP,,0.0,3,6.0,0.0,16,0,8.0,6,7,49,0.0,1.0,36,20,57,153,July,2024
RPMP,0.0,0.0,2,0.0,0.0,5,2,0.0,0,8,60,0.0,,32,0,32,109,July,2024
GMP,,4.0,7,0.0,,33,2,9.0,3,13,107,1.0,5.0,71,1,78,256,July,2024
Dhaka Range,13.0,20.0,61,12.0,0.0,286,6,38.0,40,81,984,12.0,8.0,765,3,788,2329,July,2024
Mymensingh Range,0.0,1.0,21,5.0,0.0,139,1,7.0,8,51,406,0.0,6.0,219,26,251,890,July,2024
Chittagong Range,3.0,21.0,3,11.0,0.0,180,5,24.0,45,85,930,40.0,14.0,646,27,727,2084,July,2024
Sylhet Range,1.0,3.0,14,4.0,0.0,62,1,8.0,9,60,337,0.0,1.0,114,63,178,677,July,2024
Khulna Range,1.0,7.0,27,15.0,0.0,178,1,6.0,16,84,679,13.0,4.0,609,13,639,1653,July,2024
Barishal Range,1.0,,14,16.0,,192,2,,17,30,381,0.0,0.0,196,0,196,851,July,2024
Rajshahi Range,2.0,14.0,24,9.0,0.0,207,3,8.0,6,83,692,26.0,28.0,937,44,1035,2083,July,2024
Rangpur Range,0.0,2.0,30,3.0,0.0,206,4,7.0,13,72,741,,0.0,417,11,429,1507,July,2024
Railway Range,0.0,1.0,0,,0.0,2,0,0.0,0,12,50,1.0,0.0,14,0,15,80,July,2024
Total,27.0,101.0,334,102.0,52.0,1702,32,170.0,219,785,6165,105.0,103.0,4852,217,5277,14966,July,2024
