unit_name,dacoity,robbery,murder,speedy_trial,riot,woman_child_repression,kidnapping,police_assault,burglary,theft,other_cases,r_arms_act,r_explosive_act,r_narcotics,r_smuggling,total_recovery_cases,total_cases,month,year
DMP,3.0,8.0,7.0,6.0,1,223,8.0,14.0,50.0,115,531,8.0,5.0,1303,8.0,1324,2290,March,2021
CMP,1.0,,8.0,17.0,0,77,4.0,3.0,15.0,22,143,54.0,3.0,334,1.0,392,688,March,2021
KMP,0.0,0.0,,0.0,0,9,0.0,2.0,1.0,10,35,2.0,0.0,117,,119,177,March,2021
RMP,0.0,2.0,,0.0,0,19,0.0,,,5,53,0.0,0.0,292,19.0,311,393,March,2021
BMP,0.0,,2.0,3.0,0,8,0.0,0.0,5.0,5,30,1.0,0.0,71,,72,126,March,2021
SMP,,,2.0,7.0,0,20,,,4.0,12,83,,0.0,61,5.0,69,199,March,2021
RPMP,0.0,0.0,0.0,4.0,0,11,0.0,0.0,7.0,16,41,0.0,0.0,72,2.0,74,153,March,2021
GMP,0.0,3.0,4.0,4.0,0,47,2.0,4.0,5.0,11,76,5.0,0.0,123,0.0,128,284,March,2021
Dhaka Range,7.0,28.0,90.0,13.0,0,332,6.0,17.0,46.0,107,1100,9.0,2.0,799,3.0,813,2559,March,2021
Mymensingh Range,,1.0,15.0,17.0,0,189,3.0,0.0,9.0,44,502,4.0,0.0,488,18.0,510,1291,March,2021
Chittagong Range,7.0,12.0,54.0,17.0,0,259,9.0,21.0,24.0,98,1070,34.0,5.0,1118,13.0,1170,2741,March,2021
Sylhet Range,0.0,1.0,21.0,2.0,0,71,,7.0,5.0,40,368,,0.0,174,26.0,202,720,March,2021
Khulna Range,3.0,11.0,24.0,5.0,0,196,,0.0,23.0,89,688,18.0,0.0,848,33.0,899,1941,March,2021
Barishal Range,1.0,1.0,8.0,7.0,0,108,,1.0,11.0,24,407,2.0,1.0,307,0.0,310,879,March,2021
Rajshahi Range,0.0,7.0,34.0,4.0,0,210,4.0,6.0,7.0,48,606,13.0,,992,57.0,1063,1989,March,2021
Rangpur Range,0.0,3.0,24.0,4.0,0,221,2.0,2.0,12.0,69,698,1.0,1.0,503,32.0,537,1572,March,2021
Railway Range,0.0,,,,0,0,0.0,0.0,0.0,7,8,0.0,0.0,34,1.0,35,50,March,2021
Total,23.0,85.0,295.0,110.0,1,2000,45.0,79.0,225.0,722,6439,156.0,18.0,7636,218.0,8028,18052,March,2021
