unit_name,dacoity,robbery,murder,speedy_trial,riot,woman_child_repression,kidnapping,police_assault,burglary,theft,other_cases,r_arms_act,r_explosive_act,r_narcotics,r_smuggling,total_recovery_cases,total_cases,month,year
DMP,2.0,13.0,14.0,10.0,3.0,142,3.0,5.0,51,134,630,3.0,19.0,1331,9,1362,2369,November,2022
CMP,,5.0,7.0,2.0,0.0,42,3.0,,20,36,130,2.0,0.0,213,5,220,467,November,2022
KMP,0.0,0.0,,,0.0,19,0.0,0.0,3,6,26,0.0,0.0,69,0,69,125,November,2022
RMP,,,0.0,0.0,0.0,5,0.0,2.0,5,7,48,1.0,,211,0,213,280,November,2022
BMP,,,,2.0,0.0,11,0.0,0.0,3,9,47,0.0,0.0,88,0,88,162,November,2022
SMP,0.0,0.0,,,0.0,26,0.0,0.0,7,11,71,2.0,0.0,39,6,47,169,November,2022
RPMP,0.0,0.0,0.0,,0.0,13,1.0,0.0,0,20,49,0.0,0.0,27,0,27,110,November,2022
GMP,1.0,2.0,,2.0,0.0,33,5.0,6.0,2,11,80,4.0,1.0,116,2,123,270,November,2022
Dhaka Range,7.0,30.0,64.0,22.0,0.0,260,4.0,14.0,43,105,986,17.0,24.0,944,4,989,2524,November,2022
Mymensingh Range,0.0,2.0,24.0,,0.0,159,3.0,2.0,9,45,484,3.0,3.0,382,22,410,1141,November,2022
Chittagong Range,6.0,14.0,38.0,3.0,0.0,177,8.0,6.0,27,66,787,30.0,5.0,1077,45,1157,2299,November,2022
Sylhet Range,0.0,3.0,16.0,5.0,0.0,62,2.0,5.0,4,51,352,,0.0,141,21,163,663,November,2022
Khulna Range,4.0,7.0,23.0,5.0,0.0,163,0.0,3.0,21,92,658,9.0,5.0,626,26,666,1642,November,2022
Barishal Range,,3.0,8.0,2.0,0.0,88,3.0,1.0,8,26,307,0.0,1.0,203,0,204,651,November,2022
Rajshahi Range,5.0,7.0,28.0,7.0,0.0,182,1.0,7.0,14,73,691,37.0,43.0,1081,32,1193,2208,November,2022
Rangpur Range,1.0,6.0,23.0,5.0,0.0,204,,3.0,20,75,727,1.0,0.0,342,11,354,1419,November,2022
Railway Range,0.0,0.0,2.0,0.0,,0,0.0,0.0,0,4,9,2.0,0.0,32,5,39,54,November,2022
Total,29.0,92.0,255.0,85.0,3.0,1586,34.0,55.0,237,771,6082,112.0,102.0,6922,188,7324,16553,November,2022
