unit_name,dacoity,robbery,murder,speedy_trial,riot,woman_child_repression,kidnapping,police_assault,burglary,theft,other_cases,r_arms_act,r_explosive_act,r_narcotics,r_smuggling,total_recovery_cases,total_cases,month,year,is_annual_total,source_pdf
DMP,2.0,33,16,4,0.0,134,13,9,31,92,528,10,4,485,4,503,1365.0,May,2026,False,crime-statistics-may-2026.pdf
CMP,0.0,3,6,0,0.0,45,1,3,12,20,166,4,0,207,2,213,469.0,May,2026,False,crime-statistics-may-2026.pdf
KMP,1.0,4,3,1,0.0,18,2,1,1,13,39,0,0,66,0,66,149.0,May,2026,False,crime-statistics-may-2026.pdf
RMP,0.0,4,3,1,0.0,19,4,0,2,13,63,1,1,70,0,72,181.0,May,2026,False,crime-statistics-may-2026.pdf
BMP,0.0,0,2,3,0.0,32,2,0,4,8,62,2,0,76,0,78,191.0,May,2026,False,crime-statistics-may-2026.pdf
SMP,2.0,0,4,7,0.0,15,1,2,3,20,51,0,0,56,22,78,183.0,May,2026,False,crime-statistics-may-2026.pdf
RPMP,0.0,0,0,2,0.0,11,0,0,5,7,29,1,0,91,0,92,146.0,May,2026,False,crime-statistics-may-2026.pdf
GMP,1.0,7,5,3,0.0,36,7,3,2,24,110,13,0,150,0,163,361.0,May,2026,False,crime-statistics-may-2026.pdf
Dhaka Range,8.0,29,72,12,2.0,388,16,10,51,140,1274,18,0,1555,2,1575,3577.0,May,2026,False,crime-statistics-may-2026.pdf
Mymensingh Range,1.0,5,14,2,0.0,109,1,0,5,38,378,0,0,448,50,498,1051.0,May,2026,False,crime-statistics-may-2026.pdf
Chittagong Range,8.0,27,71,9,0.0,254,18,10,51,117,1236,36,0,1128,39,1203,3004.0,May,2026,False,crime-statistics-may-2026.pdf
Sylhet Range,5.0,14,14,1,0.0,74,1,2,7,44,381,0,0,271,45,316,859.0,May,2026,False,crime-statistics-may-2026.pdf
Khulna Range,5.0,12,29,24,0.0,165,9,2,30,59,707,14,3,712,30,759,1801.0,May,2026,False,crime-statistics-may-2026.pdf
Barishal Range,3.0,5,20,6,2.0,225,2,2,32,23,480,4,0,370,1,375,1175.0,May,2026,False,crime-statistics-may-2026.pdf
Rajshahi Range,6.0,17,29,4,0.0,205,9,5,12,77,740,17,3,624,6,650,1754.0,May,2026,False,crime-statistics-may-2026.pdf
Rangpur Range,0.0,5,21,1,0.0,220,4,6,12,100,698,2,0,747,6,755,1822.0,May,2026,False,crime-statistics-may-2026.pdf
Railway Range,0.0,2,1,0,0.0,2,0,0,0,9,9,0,0,36,2,38,61.0,May,2026,False,crime-statistics-may-2026.pdf
Total,42.0,167,310,80,4.0,1952,90,55,260,804,6951,122,11,7092,209,7434,18149.0,May,2026,False,crime-statistics-may-2026.pdf
DMP,3.0,25,17,8,0.0,168,21,3,44,100,506,13,1,563,16,593,1488.0,April,2026,False,crime-statistics-april-2026.pdf
CMP,3.0,9,4,5,0.0,51,3,0,15,25,153,8,0,241,4,253,521.0,April,2026,False,crime-statistics-april-2026.pdf
KMP,0.0,2,2,0,0.0,5,2,0,6,12,35,6,0,44,0,50,114.0,April,2026,False,crime-statistics-april-2026.pdf
RMP,0.0,3,0,0,2.0,23,2,0,2,8,54,0,2,72,0,74,168.0,April,2026,False,crime-statistics-april-2026.pdf
BMP,0.0,1,2,1,0.0,18,6,1,4,10,59,4,0,48,0,52,154.0,April,2026,False,crime-statistics-april-2026.pdf
SMP,0.0,1,3,6,0.0,5,1,3,4,18,49,1,1,60,21,83,173.0,April,2026,False,crime-statistics-april-2026.pdf
RPMP,0.0,1,1,2,0.0,7,0,0,2,10,37,1,0,63,0,64,124.0,April,2026,False,crime-statistics-april-2026.pdf
GMP,0.0,3,5,3,0.0,34,6,3,3,20,106,18,0,153,1,172,355.0,April,2026,False,crime-statistics-april-2026.pdf
Dhaka Range,21.0,36,64,8,1.0,375,15,22,39,132,1433,14,1,1326,7,1348,3494.0,April,2026,False,crime-statistics-april-2026.pdf
Mymensingh Range,0.0,6,17,7,0.0,108,3,6,7,48,394,1,0,316,25,342,938.0,April,2026,False,crime-statistics-april-2026.pdf
Chittagong Range,10.0,22,54,9,0.0,285,18,9,71,105,1346,31,1,890,47,969,2898.0,April,2026,False,crime-statistics-april-2026.pdf
Sylhet Range,4.0,7,24,3,0.0,78,1,1,4,45,400,6,1,187,46,240,807.0,April,2026,False,crime-statistics-april-2026.pdf
Khulna Range,3.0,12,24,15,0.0,163,5,5,25,72,687,10,3,454,33,500,1511.0,April,2026,False,crime-statistics-april-2026.pdf
Barishal Range,3.0,3,15,5,0.0,200,2,1,21,44,497,2,1,244,0,247,1038.0,April,2026,False,crime-statistics-april-2026.pdf
Rajshahi Range,1.0,10,36,1,0.0,252,2,5,1,70,753,23,1,563,5,592,1723.0,April,2026,False,crime-statistics-april-2026.pdf
Rangpur Range,3.0,5,17,4,0.0,237,7,7,19,80,767,1,0,444,9,454,1600.0,April,2026,False,crime-statistics-april-2026.pdf
Railway Range,0.0,6,3,0,0.0,2,0,0,0,7,15,0,0,38,3,41,74.0,April,2026,False,crime-statistics-april-2026.pdf
Total,51.0,152,288,77,3.0,2011,94,66,267,806,7291,139,12,5706,217,6074,17180.0,April,2026,False,crime-statistics-april-2026.pdf
DMP,5.0,25,24,7,0.0,111,20,7,62,99,472,10,1,455,7,473,1305.0,March,2026,False,crime-statistics-march-2026.pdf
CMP,1.0,4,3,7,0.0,29,0,5,13,22,129,7,0,183,5,195,408.0,March,2026,False,crime-statistics-march-2026.pdf
KMP,0.0,0,4,0,0.0,8,2,2,0,16,28,5,0,39,1,45,105.0,March,2026,False,crime-statistics-march-2026.pdf
RMP,0.0,1,1,0,0.0,10,3,1,4,11,47,1,0,53,0,54,132.0,March,2026,False,crime-statistics-march-2026.pdf
BMP,0.0,0,1,3,0.0,9,3,0,3,11,60,1,0,40,0,41,131.0,March,2026,False,crime-statistics-march-2026.pdf
SMP,0.0,3,3,5,0.0,4,2,3,0,19,46,0,0,51,34,85,170.0,March,2026,False,crime-statistics-march-2026.pdf
RPMP,0.0,2,3,2,0.0,3,1,0,1,10,46,1,0,43,0,44,112.0,March,2026,False,crime-statistics-march-2026.pdf
GMP,1.0,5,5,3,0.0,24,9,4,2,9,103,9,0,133,0,142,307.0,March,2026,False,crime-statistics-march-2026.pdf
Dhaka Range,13.0,23,71,10,0.0,258,12,9,41,150,1384,21,4,1199,3,1227,3198.0,March,2026,False,crime-statistics-march-2026.pdf
Mymensingh Range,0.0,6,20,4,0.0,87,4,2,8,37,475,0,0,271,32,303,946.0,March,2026,False,crime-statistics-march-2026.pdf
Chittagong Range,12.0,22,61,17,0.0,210,26,5,67,132,1231,33,2,790,29,854,2637.0,March,2026,False,crime-statistics-march-2026.pdf
Sylhet Range,1.0,6,17,6,0.0,80,0,3,9,49,480,2,0,195,45,242,893.0,March,2026,False,crime-statistics-march-2026.pdf
Khulna Range,2.0,14,31,17,0.0,137,6,7,24,95,699,27,7,453,18,505,1537.0,March,2026,False,crime-statistics-march-2026.pdf
Barishal Range,1.0,5,17,5,0.0,151,1,2,30,49,532,2,0,253,2,257,1050.0,March,2026,False,crime-statistics-march-2026.pdf
Rajshahi Range,2.0,17,41,4,0.0,185,3,6,7,60,855,15,3,466,8,492,1672.0,March,2026,False,crime-statistics-march-2026.pdf
Rangpur Range,1.0,7,15,1,0.0,179,10,7,13,75,770,1,0,396,10,407,1485.0,March,2026,False,crime-statistics-march-2026.pdf
Railway Range,0.0,2,0,0,0.0,0,0,0,1,12,11,0,0,42,1,43,69.0,March,2026,False,crime-statistics-march-2026.pdf
Total,39.0,142,317,91,0.0,1485,102,63,285,856,7368,135,17,5062,195,5409,16157.0,March,2026,False,crime-statistics-march-2026.pdf
DMP,3.0,22,16,4,0.0,96,12,8,42,84,364,23,4,358,5,390,1041.0,February,2026,False,crime-statistics-february-2026.pdf
CMP,0.0,10,4,5,0.0,30,4,2,4,17,124,9,0,127,4,140,340.0,February,2026,False,crime-statistics-february-2026.pdf
KMP,1.0,3,4,0,0.0,9,1,0,3,12,26,3,0,29,0,32,91.0,February,2026,False,crime-statistics-february-2026.pdf
RMP,0.0,3,4,0,0.0,12,0,0,2,4,29,1,0,35,0,36,90.0,February,2026,False,crime-statistics-february-2026.pdf
BMP,1.0,1,1,2,0.0,18,6,0,5,6,44,0,0,22,0,22,106.0,February,2026,False,crime-statistics-february-2026.pdf
SMP,0.0,4,1,1,0.0,5,0,2,5,11,37,0,0,44,13,57,123.0,February,2026,False,crime-statistics-february-2026.pdf
RPMP,0.0,0,0,0,0.0,6,0,1,2,4,17,1,0,26,0,27,57.0,February,2026,False,crime-statistics-february-2026.pdf
GMP,1.0,2,2,3,0.0,28,3,3,0,12,71,4,1,83,0,88,213.0,February,2026,False,crime-statistics-february-2026.pdf
Dhaka Range,12.0,30,57,2,0.0,240,7,8,31,96,1090,33,11,751,3,798,2371.0,February,2026,False,crime-statistics-february-2026.pdf
Mymensingh Range,3.0,1,15,3,0.0,58,6,2,6,23,363,5,0,204,22,231,711.0,February,2026,False,crime-statistics-february-2026.pdf
Chittagong Range,14.0,23,54,11,0.0,171,12,6,45,107,889,54,1,572,25,652,1984.0,February,2026,False,crime-statistics-february-2026.pdf
Sylhet Range,1.0,2,20,2,0.0,40,1,1,4,34,316,6,0,128,21,155,576.0,February,2026,False,crime-statistics-february-2026.pdf
Khulna Range,2.0,7,26,7,1.0,95,1,4,14,67,494,20,9,298,8,335,1053.0,February,2026,False,crime-statistics-february-2026.pdf
Barishal Range,2.0,2,9,7,0.0,108,0,2,12,29,423,12,0,169,0,181,775.0,February,2026,False,crime-statistics-february-2026.pdf
Rajshahi Range,2.0,14,22,1,0.0,140,1,1,2,60,594,20,3,282,4,309,1146.0,February,2026,False,crime-statistics-february-2026.pdf
Rangpur Range,0.0,6,15,0,0.0,125,10,2,10,57,616,2,0,209,2,213,1054.0,February,2026,False,crime-statistics-february-2026.pdf
Railway Range,0.0,4,0,0,0.0,0,0,0,0,11,7,0,0,22,0,22,44.0,February,2026,False,crime-statistics-february-2026.pdf
Total,42.0,134,250,48,1.0,1181,64,42,187,634,5504,193,29,3359,107,3688,11775.0,February,2026,False,crime-statistics-february-2026.pdf
DMP,4.0,29,21,4,1.0,108,14,5,42,101,401,34,6,564,18,622,1352.0,January,2026,False,crime-statistics-january-2026.pdf
CMP,0.0,6,6,6,0.0,39,2,1,14,33,118,4,0,186,7,197,422.0,January,2026,False,crime-statistics-january-2026.pdf
KMP,0.0,4,1,2,0.0,7,1,0,0,17,25,3,0,54,1,58,115.0,January,2026,False,crime-statistics-january-2026.pdf
RMP,0.0,2,2,0,0.0,7,1,1,2,7,40,1,1,103,0,105,167.0,January,2026,False,crime-statistics-january-2026.pdf
BMP,1.0,0,1,0,0.0,18,5,0,3,4,43,3,0,31,0,34,109.0,January,2026,False,crime-statistics-january-2026.pdf
SMP,1.0,2,1,8,0.0,7,0,3,0,7,41,0,0,55,27,82,152.0,January,2026,False,crime-statistics-january-2026.pdf
RPMP,0.0,0,2,0,0.0,7,0,2,1,2,23,0,0,36,0,36,73.0,January,2026,False,crime-statistics-january-2026.pdf
GMP,3.0,9,0,1,0.0,26,8,2,5,15,67,2,0,122,0,124,260.0,January,2026,False,crime-statistics-january-2026.pdf
Dhaka Range,12.0,42,73,7,0.0,252,10,11,42,123,1065,52,15,1097,7,1171,2808.0,January,2026,False,crime-statistics-january-2026.pdf
Mymensingh Range,0.0,6,17,4,0.0,69,1,4,4,49,367,3,1,252,34,290,811.0,January,2026,False,crime-statistics-january-2026.pdf
Chittagong Range,14.0,19,56,9,0.0,165,23,3,60,134,972,83,1,817,33,934,2389.0,January,2026,False,crime-statistics-january-2026.pdf
Sylhet Range,3.0,7,11,3,0.0,46,2,1,0,51,362,6,1,169,55,231,717.0,January,2026,False,crime-statistics-january-2026.pdf
Khulna Range,1.0,9,35,7,0.0,108,6,2,28,83,462,36,7,459,8,510,1251.0,January,2026,False,crime-statistics-january-2026.pdf
Barishal Range,3.0,4,20,3,0.0,113,2,0,16,32,407,9,1,206,0,216,816.0,January,2026,False,crime-statistics-january-2026.pdf
Rajshahi Range,8.0,15,24,1,0.0,142,4,3,7,85,553,30,2,447,9,488,1330.0,January,2026,False,crime-statistics-january-2026.pdf
Rangpur Range,2.0,7,15,1,0.0,167,7,4,12,72,631,3,0,291,8,302,1220.0,January,2026,False,crime-statistics-january-2026.pdf
Railway Range,0.0,2,2,1,0.0,0,1,0,0,13,12,0,0,33,2,35,66.0,January,2026,False,crime-statistics-january-2026.pdf
Total,52.0,163,287,57,1.0,1281,87,42,236,828,5589,269,35,4922,209,5435,14058.0,January,2026,False,crime-statistics-january-2026.pdf
DMP,3.0,22,20,8,0.0,113,23,2,44,76,434,16,15,480,8,519,1264.0,December,2025,False,crime-statistics-december-2025.pdf
CMP,0.0,4,2,5,0.0,29,5,3,10,23,139,6,0,138,4,148,368.0,December,2025,False,crime-statistics-december-2025.pdf
KMP,0.0,1,4,0,0.0,6,0,0,2,14,27,3,0,48,0,51,105.0,December,2025,False,crime-statistics-december-2025.pdf
RMP,1.0,4,4,0,0.0,7,2,2,6,8,35,2,1,88,0,91,160.0,December,2025,False,crime-statistics-december-2025.pdf
BMP,1.0,1,2,2,0.0,15,4,1,4,3,40,0,0,38,0,38,111.0,December,2025,False,crime-statistics-december-2025.pdf
SMP,1.0,0,2,5,0.0,10,2,1,3,18,45,2,0,54,18,74,161.0,December,2025,False,crime-statistics-december-2025.pdf
RPMP,1.0,2,0,0,0.0,8,0,0,2,4,40,0,0,29,0,29,86.0,December,2025,False,crime-statistics-december-2025.pdf
GMP,2.0,7,4,0,0.0,22,7,1,4,16,84,4,0,86,0,90,237.0,December,2025,False,crime-statistics-december-2025.pdf
Dhaka Range,24.0,32,68,2,0.0,234,17,7,50,132,1073,30,4,869,3,906,2545.0,December,2025,False,crime-statistics-december-2025.pdf
Mymensingh Range,2.0,1,12,4,0.0,86,3,2,3,39,343,0,0,214,36,250,745.0,December,2025,False,crime-statistics-december-2025.pdf
Chittagong Range,10.0,22,44,19,0.0,169,10,4,53,83,960,41,1,779,39,860,2234.0,December,2025,False,crime-statistics-december-2025.pdf
Sylhet Range,2.0,5,19,3,0.0,58,1,2,7,44,402,2,1,142,59,204,747.0,December,2025,False,crime-statistics-december-2025.pdf
Khulna Range,2.0,10,23,9,0.0,97,5,1,25,57,497,21,4,367,6,398,1124.0,December,2025,False,crime-statistics-december-2025.pdf
Barishal Range,5.0,4,11,3,0.0,111,1,0,25,16,414,5,0,134,0,139,729.0,December,2025,False,crime-statistics-december-2025.pdf
Rajshahi Range,8.0,9,33,1,0.0,142,2,2,0,80,656,24,8,361,3,396,1329.0,December,2025,False,crime-statistics-december-2025.pdf
Rangpur Range,2.0,5,26,0,0.0,141,5,1,11,51,694,2,0,277,7,286,1222.0,December,2025,False,crime-statistics-december-2025.pdf
Railway Range,0.0,3,3,2,0.0,0,0,0,0,4,3,1,0,44,5,50,65.0,December,2025,False,crime-statistics-december-2025.pdf
Total,64.0,132,277,63,0.0,1248,87,29,249,668,5886,159,34,4148,188,4529,13232.0,December,2025,False,crime-statistics-december-2025.pdf
DMP,1.0,28,27,12,0.0,134,28,2,45,123,508,13,28,420,14,475,1383.0,November,2025,False,crime-statistics-november-2025.pdf
CMP,0.0,2,8,10,0.0,39,5,3,17,34,148,5,0,137,4,146,412.0,November,2025,False,crime-statistics-november-2025.pdf
KMP,0.0,2,5,1,0.0,14,0,0,6,13,33,0,0,62,0,62,136.0,November,2025,False,crime-statistics-november-2025.pdf
RMP,1.0,2,1,0,0.0,11,5,0,7,8,47,0,1,65,0,66,148.0,November,2025,False,crime-statistics-november-2025.pdf
BMP,0.0,2,1,0,0.0,19,5,2,5,7,74,1,0,39,1,41,156.0,November,2025,False,crime-statistics-november-2025.pdf
SMP,1.0,0,5,6,0.0,11,0,1,5,17,71,0,1,32,46,79,196.0,November,2025,False,crime-statistics-november-2025.pdf
RPMP,2.0,1,0,0,0.0,8,1,0,1,6,27,1,0,20,0,21,67.0,November,2025,False,crime-statistics-november-2025.pdf
GMP,2.0,4,6,1,0.0,41,10,3,6,23,108,0,1,65,0,66,270.0,November,2025,False,crime-statistics-november-2025.pdf
Dhaka Range,11.0,38,53,6,0.0,344,12,5,44,154,1235,30,20,786,2,838,2740.0,November,2025,False,crime-statistics-november-2025.pdf
Mymensingh Range,0.0,2,21,5,0.0,102,2,2,9,54,369,2,4,224,59,289,855.0,November,2025,False,crime-statistics-november-2025.pdf
Chittagong Range,11.0,19,51,16,0.0,210,13,9,53,99,1025,60,0,800,45,905,2411.0,November,2025,False,crime-statistics-november-2025.pdf
Sylhet Range,1.0,4,9,6,0.0,68,2,3,10,47,414,2,0,161,29,192,756.0,November,2025,False,crime-statistics-november-2025.pdf
Khulna Range,2.0,14,19,12,0.0,135,4,4,16,64,557,17,4,338,6,365,1192.0,November,2025,False,crime-statistics-november-2025.pdf
Barishal Range,4.0,2,14,4,0.0,208,1,2,31,30,440,0,0,171,0,171,907.0,November,2025,False,crime-statistics-november-2025.pdf
Rajshahi Range,6.0,8,36,0,0.0,173,2,4,5,82,718,19,9,332,0,360,1394.0,November,2025,False,crime-statistics-november-2025.pdf
Rangpur Range,2.0,7,20,0,0.0,226,3,1,7,69,771,0,0,258,5,263,1369.0,November,2025,False,crime-statistics-november-2025.pdf
Railway Range,0.0,5,3,0,3.0,1,0,0,0,12,15,0,0,33,1,34,73.0,November,2025,False,crime-statistics-november-2025.pdf
Total,44.0,140,279,79,3.0,1744,93,41,267,842,6560,150,68,3943,212,4373,14465.0,November,2025,False,crime-statistics-november-2025.pdf
DMP,1.0,29,22,8,1.0,166,24,9,43,119,546,16,15,518,14,563,1531.0,October,2025,False,crime-statistics-october-2025.pdf
CMP,3.0,10,5,21,0.0,51,4,5,13,34,132,8,0,160,2,170,448.0,October,2025,False,crime-statistics-october-2025.pdf
KMP,0.0,3,5,1,0.0,11,3,0,8,13,42,5,0,67,0,72,158.0,October,2025,False,crime-statistics-october-2025.pdf
RMP,0.0,4,3,0,0.0,16,1,1,3,9,81,1,0,57,0,58,176.0,October,2025,False,crime-statistics-october-2025.pdf
BMP,0.0,1,0,0,0.0,22,5,0,5,8,68,0,0,38,0,38,147.0,October,2025,False,crime-statistics-october-2025.pdf
SMP,1.0,1,1,4,0.0,8,2,2,4,16,60,0,0,61,24,85,184.0,October,2025,False,crime-statistics-october-2025.pdf
RPMP,0.0,1,0,0,0.0,10,1,1,4,6,26,1,0,16,0,17,66.0,October,2025,False,crime-statistics-october-2025.pdf
GMP,4.0,6,11,2,0.0,24,7,3,4,14,106,2,0,100,0,102,283.0,October,2025,False,crime-statistics-october-2025.pdf
Dhaka Range,9.0,49,59,13,0.0,362,18,12,50,156,1361,27,2,953,2,984,3073.0,October,2025,False,crime-statistics-october-2025.pdf
Mymensingh Range,1.0,3,29,4,0.0,115,1,2,15,43,379,0,0,303,44,347,939.0,October,2025,False,crime-statistics-october-2025.pdf
Chittagong Range,19.0,26,59,27,0.0,263,17,16,73,139,1156,57,1,894,46,998,2793.0,October,2025,False,crime-statistics-october-2025.pdf
Sylhet Range,2.0,7,15,1,0.0,80,2,6,5,58,405,1,0,133,34,168,749.0,October,2025,False,crime-statistics-october-2025.pdf
Khulna Range,5.0,10,34,10,0.0,136,8,3,23,90,612,25,5,391,14,435,1366.0,October,2025,False,crime-statistics-october-2025.pdf
Barishal Range,3.0,6,16,1,0.0,186,6,2,23,28,576,1,1,182,0,184,1031.0,October,2025,False,crime-statistics-october-2025.pdf
Rajshahi Range,7.0,12,41,7,0.0,258,4,5,12,103,826,10,12,318,5,345,1620.0,October,2025,False,crime-statistics-october-2025.pdf
Rangpur Range,1.0,10,17,0,0.0,277,7,2,16,84,748,1,0,354,8,363,1525.0,October,2025,False,crime-statistics-october-2025.pdf
Railway Range,0.0,2,2,4,0.0,0,0,0,0,11,15,1,0,40,6,47,81.0,October,2025,False,crime-statistics-october-2025.pdf
Total,56.0,180,319,103,1.0,1985,110,69,301,931,7139,156,36,4585,199,4976,16170.0,October,2025,False,crime-statistics-october-2025.pdf
DMP,4.0,36,25,11,1.0,137,19,4,44,119,576,16,9,522,6,553,1529.0,September,2025,False,crime-statistics-september-2025.pdf
CMP,0.0,4,7,4,0.0,46,5,5,12,41,140,4,0,134,1,139,403.0,September,2025,False,crime-statistics-september-2025.pdf
KMP,0.0,1,1,0,0.0,16,2,1,6,15,36,8,0,53,1,62,140.0,September,2025,False,crime-statistics-september-2025.pdf
RMP,0.0,3,0,0,0.0,13,4,0,5,8,68,1,1,75,1,78,179.0,September,2025,False,crime-statistics-september-2025.pdf
BMP,1.0,0,0,0,0.0,34,1,1,5,9,39,0,0,35,0,35,125.0,September,2025,False,crime-statistics-september-2025.pdf
SMP,1.0,2,2,5,0.0,6,2,0,5,16,63,0,0,48,15,63,165.0,September,2025,False,crime-statistics-september-2025.pdf
RPMP,0.0,3,0,0,0.0,3,3,0,1,11,30,3,0,13,0,16,67.0,September,2025,False,crime-statistics-september-2025.pdf
GMP,1.0,6,3,0,0.0,35,6,2,8,16,96,2,0,75,0,77,250.0,September,2025,False,crime-statistics-september-2025.pdf
Dhaka Range,10.0,51,77,8,0.0,346,3,11,49,141,1194,29,4,894,1,928,2818.0,September,2025,False,crime-statistics-september-2025.pdf
Mymensingh Range,0.0,4,15,6,0.0,117,2,1,13,55,384,3,0,303,50,356,953.0,September,2025,False,crime-statistics-september-2025.pdf
Chittagong Range,16.0,22,55,31,1.0,240,22,9,68,130,1067,44,0,932,43,1019,2680.0,September,2025,False,crime-statistics-september-2025.pdf
Sylhet Range,3.0,4,16,5,0.0,77,2,2,5,61,396,1,0,151,40,192,763.0,September,2025,False,crime-statistics-september-2025.pdf
Khulna Range,1.0,12,27,9,1.0,163,9,2,21,66,585,21,3,405,16,445,1341.0,September,2025,False,crime-statistics-september-2025.pdf
Barishal Range,2.0,4,18,3,0.0,210,1,0,34,30,454,1,2,182,0,185,941.0,September,2025,False,crime-statistics-september-2025.pdf
Rajshahi Range,8.0,9,26,7,0.0,247,9,5,11,65,795,10,2,369,5,386,1568.0,September,2025,False,crime-statistics-september-2025.pdf
Rangpur Range,2.0,4,24,3,0.0,238,6,0,8,85,694,2,0,349,4,355,1419.0,September,2025,False,crime-statistics-september-2025.pdf
Railway Range,1.0,4,1,0,0.0,0,0,0,0,20,14,0,0,45,5,50,90.0,September,2025,False,crime-statistics-september-2025.pdf
Total,50.0,169,297,92,3.0,1928,96,43,295,888,6631,145,21,4585,188,4939,15431.0,September,2025,False,crime-statistics-september-2025.pdf
DMP,2.0,52,32,7,1.0,159,16,5,51,132,555,14,13,557,10,594,1606.0,August,2025,False,crime-statistics-august-2025.pdf
CMP,1.0,10,3,7,0.0,49,6,7,13,25,134,4,0,136,5,145,400.0,August,2025,False,crime-statistics-august-2025.pdf
KMP,0.0,0,5,0,0.0,20,1,3,6,19,31,3,0,66,1,70,155.0,August,2025,False,crime-statistics-august-2025.pdf
RMP,0.0,4,3,0,0.0,17,3,0,7,20,75,1,0,70,0,71,200.0,August,2025,False,crime-statistics-august-2025.pdf
BMP,0.0,0,2,0,0.0,29,0,1,3,9,38,1,0,42,0,43,125.0,August,2025,False,crime-statistics-august-2025.pdf
SMP,1.0,0,3,0,0.0,5,1,1,4,16,61,0,1,25,7,33,125.0,August,2025,False,crime-statistics-august-2025.pdf
RPMP,0.0,0,0,0,0.0,12,1,0,2,5,25,1,0,15,0,16,61.0,August,2025,False,crime-statistics-august-2025.pdf
GMP,3.0,6,7,0,0.0,27,3,2,6,26,88,0,1,81,0,82,250.0,August,2025,False,crime-statistics-august-2025.pdf
Dhaka Range,19.0,36,73,8,0.0,346,19,6,49,159,1156,20,3,894,7,924,2795.0,August,2025,False,crime-statistics-august-2025.pdf
Mymensingh Range,0.0,5,24,1,0.0,104,5,3,10,34,364,4,0,309,45,358,908.0,August,2025,False,crime-statistics-august-2025.pdf
Chittagong Range,17.0,18,42,17,1.0,229,15,6,76,134,1014,52,2,964,43,1061,2630.0,August,2025,False,crime-statistics-august-2025.pdf
Sylhet Range,2.0,5,17,3,0.0,81,0,7,5,63,338,3,0,147,34,184,705.0,August,2025,False,crime-statistics-august-2025.pdf
Khulna Range,2.0,11,30,14,0.0,147,5,2,25,80,581,25,2,402,20,449,1346.0,August,2025,False,crime-statistics-august-2025.pdf
Barishal Range,7.0,8,16,5,0.0,196,5,3,35,52,438,1,0,223,1,225,990.0,August,2025,False,crime-statistics-august-2025.pdf
Rajshahi Range,7.0,8,37,4,0.0,216,4,3,5,91,742,13,9,425,9,456,1573.0,August,2025,False,crime-statistics-august-2025.pdf
Rangpur Range,1.0,9,25,0,0.0,264,5,2,14,74,833,6,1,465,1,473,1700.0,August,2025,False,crime-statistics-august-2025.pdf
Railway Range,0.0,4,2,0,0.0,3,1,0,0,17,11,0,0,39,10,49,87.0,August,2025,False,crime-statistics-august-2025.pdf
Total,62.0,176,321,66,2.0,1904,90,51,311,956,6484,148,32,4860,193,5233,15656.0,August,2025,False,crime-statistics-august-2025.pdf
DMP,4.0,38,75,8,3.0,171,25,5,46,101,555,23,13,528,11,575,1606.0,July,2025,False,crime-statistics-july-2025.pdf
CMP,0.0,8,9,4,0.0,54,6,4,16,28,129,3,0,156,5,164,422.0,July,2025,False,crime-statistics-july-2025.pdf
KMP,0.0,0,2,1,0.0,14,1,0,7,14,38,2,0,61,0,63,140.0,July,2025,False,crime-statistics-july-2025.pdf
RMP,0.0,4,2,0,0.0,18,3,2,6,14,64,4,0,86,0,90,203.0,July,2025,False,crime-statistics-july-2025.pdf
BMP,0.0,1,1,1,0.0,26,0,0,5,8,41,0,0,40,0,40,123.0,July,2025,False,crime-statistics-july-2025.pdf
SMP,0.0,3,2,1,0.0,11,0,0,4,9,38,1,1,31,6,39,107.0,July,2025,False,crime-statistics-july-2025.pdf
RPMP,1.0,1,0,0,0.0,7,1,0,0,8,32,4,0,20,0,24,74.0,July,2025,False,crime-statistics-july-2025.pdf
GMP,2.0,3,9,0,0.0,32,6,2,5,13,93,1,1,70,1,73,238.0,July,2025,False,crime-statistics-july-2025.pdf
Dhaka Range,22.0,36,77,14,0.0,364,12,6,70,142,1102,20,0,879,2,901,2746.0,July,2025,False,crime-statistics-july-2025.pdf
Mymensingh Range,0.0,3,23,7,0.0,114,10,1,7,36,408,1,0,293,31,325,934.0,July,2025,False,crime-statistics-july-2025.pdf
Chittagong Range,11.0,25,46,16,0.0,239,18,7,58,124,935,50,2,863,27,942,2421.0,July,2025,False,crime-statistics-july-2025.pdf
Sylhet Range,2.0,3,20,3,0.0,103,3,3,5,51,387,2,0,133,31,166,746.0,July,2025,False,crime-statistics-july-2025.pdf
Khulna Range,4.0,10,25,14,0.0,225,7,2,23,81,527,22,4,389,14,429,1347.0,July,2025,False,crime-statistics-july-2025.pdf
Barishal Range,8.0,7,15,14,1.0,188,4,1,24,43,412,3,2,153,0,158,875.0,July,2025,False,crime-statistics-july-2025.pdf
Rajshahi Range,4.0,14,27,6,0.0,235,7,3,9,89,742,11,11,468,8,498,1634.0,July,2025,False,crime-statistics-july-2025.pdf
Rangpur Range,1.0,5,29,0,0.0,287,6,3,7,72,821,8,0,446,3,457,1688.0,July,2025,False,crime-statistics-july-2025.pdf
Railway Range,0.0,5,0,0,0.0,9,0,0,0,16,9,0,0,42,4,46,85.0,July,2025,False,crime-statistics-july-2025.pdf
Total,59.0,166,362,89,4.0,2097,109,39,292,849,6333,155,34,4658,143,4990,15389.0,July,2025,False,crime-statistics-july-2025.pdf
DMP,4.0,32,49,8,4.0,168,20,6,55,90,456,45,4,505,10,564,1456.0,June,2025,False,crime-statistics-jun-2025.pdf
