unit_name,dacoity,robbery,murder,speedy_trial,riot,woman_child_repression,kidnapping,police_assault,burglary,theft,other_cases,r_arms_act,r_explosive_act,r_narcotics,r_smuggling,total_recovery_cases,total_cases,month,year,is_annual_total,source_pdf
Barishal Range,1.0,4,12,0,0.0,106,2,1,9,26,374,1,0,299,2,302,837.0,February,2020,False,crime-statistics-2020.pdf
Rajshahi Range,3.0,7,36,2,0.0,204,1,4,7,43,552,20,3,1542,124,1689,2548.0,February,2020,False,crime-statistics-2020.pdf
Rangpur Range,0.0,1,21,1,0.0,185,3,1,10,45,676,4,0,524,71,599,1542.0,February,2020,False,crime-statistics-2020.pdf
Railway Range,0.0,1,2,0,0.0,0,1,0,1,6,11,0,0,27,15,42,64.0,February,2020,False,crime-statistics-2020.pdf
Total,26.0,87,257,56,1.0,1740,41,34,218,571,5400,174,12,8531,324,9041,17472.0,February,2020,False,crime-statistics-2020.pdf
DMP,3.0,13,17,13,0.0,187,7,6,49,110,502,15,0,1129,8,1152,2059.0,March,2020,False,crime-statistics-2020.pdf
CMP,0.0,6,3,7,0.0,64,1,1,9,13,152,32,0,344,3,379,635.0,March,2020,False,crime-statistics-2020.pdf
KMP,0.0,0,3,1,0.0,7,0,0,1,2,18,0,0,102,0,102,134.0,March,2020,False,crime-statistics-2020.pdf
RMP,0.0,2,1,0,2.0,19,1,0,5,8,53,1,0,243,29,273,364.0,March,2020,False,crime-statistics-2020.pdf
BMP,0.0,0,1,3,0.0,10,0,1,8,5,39,0,0,102,0,102,169.0,March,2020,False,crime-statistics-2020.pdf
SMP,0.0,0,4,4,0.0,26,0,0,2,7,75,0,0,42,1,43,161.0,March,2020,False,crime-statistics-2020.pdf
RPMP,0.0,0,2,1,0.0,24,0,0,0,11,42,0,0,87,0,87,167.0,March,2020,False,crime-statistics-2020.pdf
GMP,3.0,3,5,1,0.0,42,4,3,3,13,107,2,0,125,0,127,311.0,March,2020,False,crime-statistics-2020.pdf
Dhaka Range,3.0,18,49,9,0.0,265,10,4,25,80,911,5,1,1009,1,1016,2390.0,March,2020,False,crime-statistics-2020.pdf
